Bogetić;Promina;Šibensko-kninska županija
Bogomolje;Sućuraj;Splitsko-dalmatinska županija
Bogovci;Netretić;Karlovačka županija
Bogovići;Malinska-Dubašnica;Primorsko-goranska županija
Bogovolja;Cetingrad;Karlovačka županija
Bojačno;Zagorska Sela;Krapinsko-zagorska županija
Bojana;Čazma;Bjelovarsko-bilogorska županija
Bojna;Glina;Sisačko-moslavačka županija
Bojnikovec;Križevci;Koprivničko-križevačka županija
Bok Palanječki;Martinska Ves;Sisačko-moslavačka županija
Bokane;Voćin;Virovitičko-podravska županija
Bokordići;Svetvinčenat;Istarska županija
Bokšić;Đurđenovac;Osječko-baranjska županija
Bokšić;Tompojevci;Vukovarsko-srijemska županija
Bokšić Lug;Đurđenovac;Osječko-baranjska županija
Bol;Bol;Splitsko-dalmatinska županija
Bolč;Farkaševac;Zagrebačka županija
Bolfan;Ludbreg;Varaždinska županija
Bolman;Jagodnjak;Osječko-baranjska županija
Bolomače;Brestovac;Požeško-slavonska županija
Boljenovići;Ston;Dubrovačko-neretvanska županija
Boljevići;Kršan;Istarska županija
Boljun;Lupoglav;Istarska županija
Boljunsko Polje;Lupoglav;Istarska županija
Bonaci;Poreč;Istarska županija
Boraja;Šibenik;Šibensko-kninska županija
Borak;Omiš;Splitsko-dalmatinska županija
Borenec;Breznica;Varaždinska županija
Boričevac;Donji Lapac;Ličko-senjska županija
Boričevci;Brestovac;Požeško-slavonska županija
Boričevec Toplički;Varaždinske Toplice;Varaždinska županija
Borik;Mikleuš;Virovitičko-podravska županija
Borinići;Barban;Istarska županija
Boriš;Končanica;Bjelovarsko-bilogorska županija
Borje;Kalnik;Koprivničko-križevačka županija
Borkovec;Zlatar;Krapinsko-zagorska županija
Borojevci;Levanjska Varoš;Osječko-baranjska županija
Borojevići;Donji Kukuruzari;Sisačko-moslavačka županija
Borova Kosa;Đulovac;Bjelovarsko-bilogorska županija
Borova;Suhopolje;Virovitičko-podravska županija
Borovac;Novska;Sisačko-moslavačka županija
Borovci;Kula Norinska;Dubrovačko-neretvanska županija
Borovik;Drenje;Osječko-baranjska županija
Borovik;Komiža;Splitsko-dalmatinska županija
Borovita;Glina;Sisačko-moslavačka županija
Borovljani;Novigrad Podravski;Koprivničko-križevačka županija
Borovo;Borovo;Vukovarsko-srijemska županija
Borut;Cerovlje;Istarska županija
Bosanci;Bosiljevo;Karlovačka županija
Bosanka;Dubrovnik;Dubrovačko-neretvanska županija
Bosiljevo;Bosiljevo;Karlovačka županija
Bosiljevo;Čazma;Bjelovarsko-bilogorska županija
Bosna;Bedenica;Zagrebačka županija
Bošana;Pag;Zadarska županija
Boševci;Ozalj;Karlovačka županija
Boškari;Svetvinčenat;Istarska županija
Bošnjaci;Bošnjaci;Vukovarsko-srijemska županija
Bošt;Duga Resa;Karlovačka županija
Botinac;Kapela;Bjelovarsko-bilogorska županija
Botinec;Zagreb;Grad Zagreb
Botinovec;Koprivnički Ivanec;Koprivničko-križevačka županija
Botovo;Drnje;Koprivničko-križevačka županija
Bović;Gvozd;Sisačko-moslavačka županija
Božava;Sali;Zadarska županija
Božjakovina;Brckovljani;Zagrebačka županija
Bračak;Zabok;Krapinsko-zagorska županija
Bračevci;Drenje;Osječko-baranjska županija
Bračević;Muć;Splitsko-dalmatinska županija
Brajakovo Brdo;Netretić;Karlovačka županija
Brajdić Selo;Rakovica;Karlovačka županija
Brajkovići;Kanfanar;Istarska županija
Brajkovići;Pazin;Istarska županija
Bralići;Vrsar;Istarska županija
Branešci;Pakrac;Požeško-slavonska županija
Branimirovac;Koška;Osječko-baranjska županija
Branjin Vrh;Beli Manastir;Osječko-baranjska županija
Branjina;Popovac;Osječko-baranjska županija
Braslovje;Samobor;Zagrebačka županija
Brašina;Župa dubrovačka;Dubrovačko-neretvanska županija
Brašljevica;Ozalj;Karlovačka županija
Bratelji;Samobor;Zagrebačka županija
Bratina;Pisarovina;Zagrebačka županija
Bratiškovci;Skradin;Šibensko-kninska županija
Bratkovec;Zagorska Sela;Krapinsko-zagorska županija
Bratovanci;Ozalj;Karlovačka županija
Bratovići;Poreč;Istarska županija
Bratovski Vrh;Klanjec;Krapinsko-zagorska županija
Bratulići;Barban;Istarska županija
Bratulići;Marčana;Istarska županija
Bratuljevci;Velika;Požeško-slavonska županija
Bratuš;Baška Voda;Splitsko-dalmatinska županija
Brbinj;Sali;Zadarska županija
Brcković Draga;Generalski Stol;Karlovačka županija
Brckovljani;Brckovljani;Zagrebačka županija
Brčevec;Vrbovec;Zagrebačka županija
Brčići;Poreč;Istarska županija
Brčići;Tinjan;Istarska županija
Brčino;Sibinj;Brodsko-posavska županija
Brdce;Matulji;Primorsko-goranska županija
Brdo;Buje;Istarska županija
Brdo Cirkvensko;Sveti Ivan Žabno;Koprivničko-križevačka županija
Brdo Jesenjsko;Jesenje;Krapinsko-zagorska županija
Brdo Orehovečko;Sveti Petar Orehovec;Koprivničko-križevačka županija
Brdo Utinjsko;Vojnić;Karlovačka županija
Brdovec;Brdovec;Zagrebačka županija
Brđani;Pleternica;Požeško-slavonska županija
Brđani;Rešetari;Brodsko-posavska županija
Brđani Cesta;Sunja;Sisačko-moslavačka županija
Brđani Kosa;Sunja;Sisačko-moslavačka županija
Brđani Sokolovački;Sokolovac;Koprivničko-križevačka županija
Brđani Šamarički;Dvor;Sisačko-moslavačka županija
Brebernica;Zagreb;Grad Zagreb
Brebornica;Krnjak;Karlovačka županija
Brebrovac;Jastrebarsko;Zagrebačka županija
Brečevići;Tinjan;Istarska županija
Brečići;Pojezerje;Dubrovačko-neretvanska županija
Breg Mokrički;Sveti Ivan Zelina;Zagrebačka županija
Breg;Labin;Istarska županija
